display  D   display_settings.c:227  _al_score_display_settings       [   0.02670] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02671] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02672] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02673] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02675] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02675] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02677] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02678] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02679] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02680] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02681] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02682] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02683] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02684] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02685] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02686] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02687] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02688] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02689] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02690] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02691] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02692] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02695] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02696] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02697] Vsync requirement not met.
